number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.8978632492495325,2026-05-28 13:05:27.505673,2026-05-28 13:06:42.865572,0 days 00:01:15.359899,0.7174250836504598,0.06207297859212557,6,300,0.7467983561008608,COMPLETE
1,0.885027839732149,2026-05-28 13:06:42.868581,2026-05-28 13:07:18.442850,0 days 00:00:35.574269,0.7637017332034828,0.19182884923958635,4,200,0.9497327922401265,COMPLETE
2,0.9212173377096168,2026-05-28 13:07:18.443850,2026-05-28 13:09:20.600045,0 days 00:02:02.156195,0.8835558684167139,0.09099694632498756,6,500,0.7873687420594125,COMPLETE
3,0.9239474179717423,2026-05-28 13:09:20.609538,2026-05-28 13:11:07.120300,0 days 00:01:46.510762,0.8542703315240835,0.1484885740998741,6,500,0.7599021346475079,COMPLETE
4,0.8673271275156159,2026-05-28 13:11:07.124286,2026-05-28 13:12:21.035642,0 days 00:01:13.911356,0.9896896099223678,0.054718598564940636,4,500,0.984665661176,COMPLETE
5,0.910757794554962,2026-05-28 13:12:21.055110,2026-05-28 13:13:05.589812,0 days 00:00:44.534702,0.848553073033381,0.09203821999721142,7,200,0.7366114704534336,COMPLETE
6,0.9171342938212882,2026-05-28 13:13:05.590810,2026-05-28 13:14:11.933552,0 days 00:01:06.342742,0.8640130838029838,0.07702625305495493,7,300,0.8560204063533432,COMPLETE
7,0.9289770194247292,2026-05-28 13:14:11.936038,2026-05-28 13:15:30.106573,0 days 00:01:18.170535,0.976562270506935,0.17286606700454452,8,300,0.8793699936433255,COMPLETE
8,0.8944513824620056,2026-05-28 13:15:30.107572,2026-05-28 13:41:33.708369,0 days 00:26:03.600797,0.9486212527455788,0.08569925568298944,5,300,0.7814047095321688,COMPLETE
9,0.90831467063273,2026-05-28 13:41:33.711369,2026-05-28 13:43:17.246919,0 days 00:01:43.535550,0.9960660809801551,0.1520339963985659,4,500,0.7223651931039312,COMPLETE
10,0.9285478701141834,2026-05-28 13:43:17.247914,2026-05-28 13:44:58.320576,0 days 00:01:41.072662,0.9233009168602019,0.12142759310081296,8,300,0.8890413928279081,COMPLETE
11,0.9269573878045647,2026-05-28 13:44:58.322702,2026-05-28 13:50:46.537698,0 days 00:05:48.214996,0.9215216634175062,0.1210785673992966,8,300,0.8880650934719703,COMPLETE
12,0.9273808517853132,2026-05-28 13:50:46.551774,2026-05-28 13:52:49.532494,0 days 00:02:02.980720,0.9379703187594342,0.11789573445399185,8,300,0.9011194523345837,COMPLETE
13,0.9292958328067257,2026-05-28 13:52:49.533566,2026-05-28 13:54:59.256498,0 days 00:02:09.722932,0.9052154665396841,0.19864897394599962,8,300,0.8310638585198815,COMPLETE
14,0.926192260272125,2026-05-28 13:54:59.259503,2026-05-28 13:57:13.795236,0 days 00:02:14.535733,0.8042900291489747,0.19922230884325265,7,300,0.8201451542819685,COMPLETE
15,0.9276061994747792,2026-05-28 13:57:13.797239,2026-05-28 13:59:36.475448,0 days 00:02:22.678209,0.9650146987530758,0.15985315666797212,8,300,0.842887677641615,COMPLETE
16,0.9224978158184017,2026-05-28 13:59:36.478481,2026-05-28 14:01:00.743515,0 days 00:01:24.265034,0.9048513189080684,0.1720248297546667,7,200,0.9225208984404281,COMPLETE
17,0.9275787886318477,2026-05-28 14:01:00.745681,2026-05-28 14:03:11.873521,0 days 00:02:11.127840,0.811977502967705,0.13871418244071707,8,300,0.8185247702651134,COMPLETE
18,0.9132001947309539,2026-05-28 14:03:11.874959,2026-05-28 14:04:48.025533,0 days 00:01:36.150574,0.9656729994892521,0.17670720780648658,5,300,0.8412059315281253,COMPLETE
19,0.9141571320709261,2026-05-28 14:04:48.027524,2026-05-28 14:06:02.634505,0 days 00:01:14.606981,0.8921283575429872,0.1060132521199569,7,200,0.7032967567731313,COMPLETE
